# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek
# Version 2019.3.22
#
# Much of the content (but not all) of this table was incorporated
# into Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208....9P), so that
# reference should be cited. Parts of this table for A/F/G stars also
# appeared in Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756,
# 154).  For example, Table 5 of Pecaut & Mamajek did not include the
# absolute magnitude and luminosity estimates, nor the properties of
# the LTY dwarfs. 
#
# The author's notes on standard stars and mean parameters for stars
# for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, Tycho
# BtVt, Cousins RcIc, Gaia DR2 G/Bp/Rp, Sloan izY, 2MASS JHKs,
# and WISE W1/W2/W3/W4 photometry. G-V color is Gaia DR2 G - Johnson V.
#
#SpT   Teff  logT   logL  Mbol  BCv    Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G    b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks    Ks-W1   W1-W2  W1-W3  W1-W4   M_J    M_Ks  i-z  z-Y  R_Rsun Msun  #SpT 
O3V    46000 4.663  5.80 -9.75 -4.05  -5.7  -0.32   ...    ...    ...    ...    ...    ..... -1.22   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  12.5   ....  O3V  
classified by Gray et al. (2006) on Keenan system of standards, and
made some minor edits to parameters for some K dwarfs.

2018.05.24: Changed "H-K" => "H-Ks" in Table column headers to reflect
explicitly that the 'K' is explicitly 2MASS Ks (both H and Ks are
2MASS system).

2018.08.02: Accounted for latest dynamical mass vs. absolute Ks magnitude
trend for dwarfs of type K1-L2 from Mann et al. (2018).

2018.08.03: added line for F9.5V. Best standard is bet Com.

2018.12.10: preliminary G-V colors added based on median colors of
spectral standards from K0V to L0V (with the M7-L0 sequence smoothed),
and from the fits for (G-V) as functions of (B-V), (V-Rc), and (V-Ic)
from Evans+2018 (where I've plugged in current best estimates for
those colors as functions of spectral type into the Evans+2018
polynomials and taken the average G-V). I need to look at this trend a
bit more closely for AFG stars.

2019.03.01: added Bp-Rp colors for late K and M dwarfs based on
GaiaDR2 colors for standard and stars within 10 pc with vetted
spectral types.  Absolute G magnitudes (M_G) and G-Rp colors on Gaia
DR2 system for L dwarfs come from Smart+2019
(https://arxiv.org/abs/1902.07571).

2019.03.22: added Gaia DR2 Bp-Rp, G-Rp colors for B9 through late K
dwarfs, and included absolute G magnitude (M_G) for types where V-G
colors were determinable. Based on d<60pc dwarf stars between B9V and
late K in SIMBAD - the majority of which now have either Gaia DR2
parallaxes now, or revised Hipparcos parallaxes (for the bright ones).

# Please email me if you use the table in your research and/or have
# any questions. - EEM
